acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.696,0.821,106684,0.607,0.0,7,0.14,-6.035,1,0.136,97.976,4,0.924
0.878,0.135,483667,0.00925,0.788,0,0.0604,-28.841,1,0.0405,69.321,3,0.0388
0.353,0.685,48093,0.481,0.0,2,0.304,-10.013,1,0.228,116.888,4,0.893
0.155,0.618,210453,0.723,1.6e-5,6,0.302,-6.283,0,0.0354,86.809,4,0.734
0.704,0.502,259733,0.535,5.09e-5,2,0.488,-7.896,1,0.0243,98.278,4,0.429
0.805,0.422,187933,0.165,0.00613,5,0.271,-20.931,1,0.0385,144.367,3,0.643
0.0743,0.596,223469,0.905,0.00168,8,0.129,-3.438,0,0.0515,144.981,4,0.692
0.194,0.769,201200,0.764,0.0,11,0.136,-3.522,0,0.175,89.991,4,0.592
0.737,0.414,296705,0.49,0.0,0,0.0577,-7.679,1,0.0365,159.722,3,0.423
0.288,0.693,66481,0.199,0.0,0,0.133,-10.563,1,0.0634,113.0,4,0.29
0.885,0.366,352000,0.139,0.913,7,0.0725,-19.978,1,0.039,139.478,4,0.31
0.0592,0.211,209760,0.31,0.94,7,0.106,-14.518,1,0.0297,71.777,4,0.475
0.296,0.481,243893,0.673,0.0,11,0.134,-8.379,0,0.315,142.702,4,0.423
0.713,0.775,168240,0.455,0.0,0,0.0832,-8.717,1,0.0385,130.337,4,0.596
0.27,0.573,207067,0.551,0.000194,9,0.0854,-9.088,1,0.0259,88.485,4,0.427
0.000878,0.816,357955,0.805,0.131,7,0.077,-6.155,1,0.0936,109.996,4,0.61
0.00126,0.83,180510,0.868,0.11,2,0.124,-4.223,1,0.159,149.95,4,0.702
0.0341,0.554,210000,0.909,0.00235,9,0.189,-3.041,1,0.244,79.616,4,0.917
0.823,0.33,321347,0.187,1.1e-5,0,0.0749,-14.114,0,0.0339,80.298,4,0.194
0.99,0.401,283213,0.14,0.929,0,0.078,-22.696,1,0.0338,130.037,4,0.326
0.0229,0.942,264027,0.539,0.000276,4,0.0887,-10.442,0,0.0866,125.035,4,0.727
0.0016,0.638,181880,0.679,0.00655,4,0.121,-5.278,1,0.0425,81.045,4,0.596
0.0507,0.747,203853,0.745,1.9e-6,9,0.151,-3.335,1,0.146,180.123,4,0.805
0.639,0.686,212293,0.372,0.0,3,0.132,-11.961,1,0.0358,122.953,4,0.307
0.673,0.712,165732,0.361,0.0,1,0.11,-7.198,1,0.0775,117.381,4,0.434
0.302,0.7,311547,0.887,0.000803,9,0.16,-4.702,1,0.0399,105.647,4,0.861
0.813,0.555,247680,0.477,0.673,3,0.116,-9.919,1,0.0295,138.231,4,0.373
0.0193,0.52,296880,0.768,0.00034,8,0.104,-3.489,0,0.359,79.178,4,0.398
0.609,0.475,182747,0.579,0.0,5,0.0756,-4.096,1,0.0334,178.151,4,0.466
0.0126,0.676,265240,0.822,5.78e-5,6,0.583,-7.668,0,0.0844,94.301,4,0.668
0.196,0.587,284359,0.677,2.13e-6,8,0.316,-5.915,1,0.0721,107.003,4,0.279
0.0121,0.736,211023,0.773,0.00531,1,0.333,-5.092,1,0.0433,103.026,4,0.264
0.987,0.464,618400,0.139,0.908,2,0.0696,-20.21,1,0.0393,134.537,4,0.372
0.031,0.698,145400,0.945,0.00223,9,0.255,-4.803,1,0.367,160.017,4,0.588
0.00559,0.636,217600,0.904,0.0,2,0.155,-2.411,1,0.335,150.023,4,0.466
0.633,0.601,132977,0.302,0.0,4,0.108,-12.504,1,0.0283,139.93,4,0.355
0.201,0.648,166840,0.475,0.0,6,0.127,-7.301,1,0.118,143.599,4,0.267
0.019,0.429,184753,0.76,0.0,7,0.102,-5.434,1,0.327,78.26,4,0.541
0.00116,0.601,148125,0.99,0.52,6,0.124,-3.016,1,0.337,127.958,4,0.192
0.905,0.579,101148,0.221,1.21e-6,0,0.102,-9.664,1,0.0478,118.871,3,0.221
0.379,0.503,233560,0.618,0.0,7,0.114,-6.06,0,0.0299,81.907,4,0.232
0.102,0.803,216575,0.631,7.39e-6,8,0.0858,-4.213,1,0.0444,104.999,4,0.659
0.202,0.755,216450,0.577,0.0,3,0.234,-7.549,1,0.157,100.034,4,0.451
0.162,0.71,309173,0.784,0.000623,0,0.194,-6.865,1,0.0416,126.656,4,0.901
0.195,0.887,231733,0.682,0.0503,4,0.0623,-7.795,1,0.0436,115.7,4,0.962
0.125,0.48,110075,0.56,0.0,1,0.136,-7.868,1,0.351,204.162,4,0.571
0.124,0.519,242227,0.495,0.00626,6,0.183,-11.002,0,0.101,95.078,4,0.262
0.000175,0.374,333827,0.943,0.000156,6,0.125,-4.108,0,0.0556,112.084,4,0.338
0.00197,0.487,213000,0.867,0.00602,10,0.0968,-3.293,0,0.0543,160.048,4,0.403
0.916,0.605,125867,0.314,0.0,0,0.359,-7.631,1,0.0327,138.148,4,0.836
0.168,0.7,249493,0.823,2.81e-5,3,0.122,-6.892,1,0.0373,144.06,4,0.745
0.0155,0.477,276720,0.776,0.00314,1,0.203,-5.056,1,0.0349,131.004,4,0.429
